Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Total_EMI_per_month,Payment_Behaviour,Monthly_Balance,Credit_Score
17.0,21,30625.0,2706.0,6.0,5.0,27.0,2.0,25.0,1.0,10.0,1.0,1562.0,10.0,42.0,3.0,252.0,1.0
25.0,4,52312.0,4250.0,6.0,5.0,17.0,4.0,16.0,9.0,2.0,2.0,202.0,30.0,108.0,5.0,424.0,1.0
18.0,20,113781.0,9549.0,1.0,4.0,1.0,0.0,7.0,11.0,1.0,3.0,1030.0,15.0,0.0,2.0,837.0,0.0
43.0,22,58918.0,5208.0,3.0,3.0,17.0,3.0,12.0,14.0,7.0,2.0,473.0,15.0,123.0,6.0,562.0,1.0
44.0,4,98620.0,7962.0,3.0,3.0,6.0,3.0,7.0,1.0,3.0,3.0,1233.0,17.0,228.0,2.0,313.0,1.0
27.0,13,46951.0,3725.0,7.0,4.0,16.0,0.0,9.0,15.0,4.0,2.0,340.0,0.0,0.0,2.0,538.0,1.0
15.0,15,61194.0,5014.0,7.0,7.0,23.0,8.0,22.0,28.0,8.0,1.0,2773.0,13.0,225.0,1.0,276.0,0.0
51.0,18,170614.0,,2.0,6.0,9.0,2.0,2.0,0.0,3.0,3.0,849.0,20.0,208.0,6.0,1263.0,1.0
30.0,19,89064.0,7256.0,5.0,3.0,1.0,1.0,7.0,6.0,3.0,3.0,648.0,29.0,37.0,2.0,335.0,2.0
25.0,24,50807.0,4197.0,8.0,4.0,11.0,4.0,10.0,2.0,4.0,2.0,869.0,22.0,88.0,6.0,473.0,1.0
40.0,21,60410.0,5274.0,4.0,7.0,17.0,4.0,9.0,7.0,5.0,2.0,1852.0,15.0,149.0,1.0,175.0,1.0
44.0,15,15989.0,1086.0,5.0,4.0,2.0,4.0,16.0,0.0,3.0,3.0,665.0,19.0,33.0,1.0,317.0,2.0
27.0,16,129473.0,10959.0,3.0,4.0,10.0,3.0,16.0,7.0,8.0,2.0,568.0,19.0,255.0,5.0,935.0,1.0
40.0,24,98690.0,8262.0,4.0,6.0,9.0,1.0,17.0,8.0,0.0,3.0,706.0,26.0,55.0,2.0,546.0,0.0
14.0,10,8978.0,894.0,8.0,8.0,30.0,9.0,14.0,18.0,7.0,1.0,,9.0,57.0,5.0,251.0,1.0
44.0,19,33441.0,2748.0,2.0,4.0,1.0,0.0,4.0,14.0,1.0,3.0,154.0,31.0,0.0,4.0,347.0,1.0
26.0,15,42387.0,3680.0,3.0,7.0,26.0,7.0,10.0,14.0,7.0,2.0,1835.0,9.0,225.0,5.0,339.0,1.0
36.0,4,14981.0,1461.0,2.0,7.0,5.0,4.0,6.0,0.0,4.0,3.0,1122.0,31.0,38.0,5.0,323.0,1.0
50.0,10,19180.0,1688.0,8.0,4.0,18.0,4.0,17.0,9.0,1.0,2.0,1127.0,24.0,57.0,1.0,188.0,1.0
19.0,16,11336.0,992.0,4.0,6.0,14.0,6.0,19.0,13.0,7.0,2.0,177.0,14.0,35.0,6.0,291.0,1.0
41.0,27,35022.0,2859.0,3.0,5.0,4.0,1.0,11.0,1.0,0.0,3.0,1000.0,27.0,21.0,1.0,281.0,1.0
44.0,19,16053.0,1196.0,8.0,6.0,24.0,5.0,16.0,0.0,8.0,1.0,2107.0,15.0,44.0,1.0,245.0,0.0
45.0,12,86617.0,7250.0,8.0,4.0,6.0,3.0,20.0,10.0,4.0,2.0,718.0,24.0,141.0,6.0,759.0,1.0
24.0,15,34428.0,2575.0,2.0,4.0,8.0,0.0,14.0,8.0,0.0,3.0,180.0,0.0,0.0,5.0,466.0,2.0
54.0,13,127617.0,10596.0,,4.0,5.0,3.0,6.0,9.0,0.0,3.0,542.0,23.0,211.0,5.0,978.0,1.0
19.0,16,128698.0,10628.0,7.0,5.0,10.0,4.0,16.0,10.0,8.0,2.0,583.0,16.0,251.0,6.0,823.0,1.0
32.0,15,58637.0,4799.0,4.0,6.0,10.0,3.0,20.0,12.0,5.0,2.0,208.0,30.0,139.0,6.0,472.0,1.0
54.0,17,134035.0,11102.0,,5.0,10.0,2.0,7.0,10.0,4.0,3.0,767.0,24.0,143.0,3.0,466.0,2.0
39.0,18,24709.0,1933.0,5.0,5.0,6.0,3.0,11.0,7.0,1.0,3.0,413.0,17.0,196.0,1.0,366.0,0.0
14.0,13,49718.0,4179.0,7.0,10.0,27.0,6.0,16.0,5.0,7.0,1.0,1920.0,13.0,231.0,5.0,281.0,0.0
14.0,16,75095.0,6269.0,5.0,6.0,15.0,6.0,9.0,7.0,8.0,2.0,989.0,11.0,261.0,6.0,535.0,1.0
51.0,22,42153.0,3377.0,5.0,4.0,10.0,3.0,10.0,4.0,4.0,3.0,1027.0,27.0,79.0,4.0,298.0,1.0
38.0,13,36982.0,2808.0,7.0,9.0,21.0,9.0,15.0,24.0,10.0,1.0,4882.0,7.0,200.0,5.0,290.0,1.0
42.0,21,12931.0,1348.0,4.0,4.0,9.0,3.0,20.0,18.0,3.0,2.0,752.0,20.0,20.0,6.0,320.0,1.0
22.0,26,20652.0,1468.0,7.0,5.0,21.0,2.0,13.0,15.0,8.0,2.0,1859.0,18.0,33.0,2.0,303.0,0.0
55.0,18,31641.0,2610.0,4.0,6.0,7.0,3.0,12.0,11.0,1.0,2.0,583.0,19.0,60.0,1.0,245.0,1.0
45.0,12,49140.0,4377.0,10.0,6.0,27.0,6.0,18.0,16.0,11.0,1.0,2950.0,6.0,154.0,4.0,431.0,1.0
41.0,10,130435.0,10623.0,4.0,6.0,9.0,2.0,1.0,10.0,0.0,3.0,942.0,29.0,188.0,2.0,845.0,0.0
41.0,13,17603.0,1427.0,8.0,6.0,4.0,0.0,7.0,6.0,4.0,2.0,836.0,15.0,0.0,1.0,257.0,1.0
19.0,26,114432.0,9272.0,1.0,2.0,7.0,0.0,12.0,11.0,4.0,3.0,444.0,0.0,0.0,5.0,980.0,2.0
28.0,17,16718.0,1270.0,7.0,3.0,15.0,4.0,12.0,11.0,0.0,2.0,853.0,15.0,50.0,2.0,257.0,1.0
48.0,4,136150.0,11127.0,1.0,5.0,9.0,3.0,0.0,10.0,3.0,3.0,260.0,26.0,177.0,1.0,585.0,2.0
48.0,13,23627.0,1712.0,7.0,3.0,19.0,3.0,12.0,1.0,1.0,2.0,277.0,18.0,37.0,1.0,250.0,1.0
35.0,27,60830.0,5044.0,,1.0,11.0,4.0,3.0,7.0,0.0,3.0,133.0,23.0,159.0,5.0,488.0,2.0
38.0,16,49454.0,4328.0,8.0,5.0,23.0,2.0,26.0,4.0,8.0,1.0,1388.0,12.0,73.0,1.0,386.0,0.0
24.0,19,158623.0,13180.0,2.0,7.0,10.0,1.0,5.0,6.0,0.0,3.0,1134.0,29.0,91.0,4.0,720.0,2.0
39.0,17,15968.0,1380.0,7.0,7.0,21.0,9.0,20.0,17.0,12.0,1.0,,0.0,77.0,1.0,221.0,0.0
25.0,10,105645.0,9090.0,4.0,3.0,5.0,4.0,19.0,2.0,1.0,2.0,1336.0,21.0,315.0,5.0,676.0,1.0
27.0,26,9929.0,828.0,4.0,8.0,23.0,3.0,18.0,11.0,14.0,2.0,2328.0,6.0,18.0,4.0,273.0,0.0
37.0,20,43133.0,3432.0,10.0,10.0,31.0,7.0,24.0,6.0,9.0,1.0,2504.0,10.0,151.0,6.0,387.0,0.0
19.0,23,64933.0,5368.0,3.0,3.0,33.0,4.0,22.0,19.0,6.0,2.0,2699.0,13.0,193.0,4.0,361.0,0.0
50.0,13,28315.0,2415.0,4.0,7.0,10.0,2.0,8.0,12.0,4.0,3.0,677.0,19.0,30.0,4.0,415.0,2.0
29.0,13,12660.0,909.0,5.0,7.0,15.0,0.0,12.0,9.0,2.0,2.0,456.0,24.0,0.0,1.0,297.0,1.0
53.0,21,150131.0,12596.0,5.0,1.0,4.0,0.0,0.0,11.0,0.0,3.0,1138.0,31.0,0.0,6.0,1244.0,2.0
29.0,17,39576.0,3199.0,,7.0,2.0,4.0,1.0,4.0,1.0,3.0,226.0,19.0,124.0,3.0,196.0,0.0
36.0,15,16341.0,1292.0,4.0,4.0,6.0,2.0,22.0,11.0,0.0,2.0,684.0,16.0,16.0,1.0,228.0,1.0
21.0,15,43062.0,3607.0,6.0,10.0,23.0,2.0,20.0,19.0,9.0,2.0,2169.0,14.0,47.0,6.0,508.0,0.0
30.0,12,28952.0,2338.0,7.0,9.0,21.0,8.0,25.0,2.0,11.0,1.0,2717.0,0.0,155.0,1.0,86.0,0.0
25.0,15,117499.0,9780.0,4.0,5.0,8.0,0.0,8.0,12.0,0.0,3.0,337.0,30.0,0.0,6.0,1023.0,1.0
42.0,21,76284.0,6451.0,6.0,10.0,18.0,6.0,12.0,11.0,9.0,2.0,1957.0,19.0,222.0,6.0,554.0,0.0
35.0,19,56301.0,4593.0,9.0,5.0,26.0,2.0,18.0,14.0,9.0,2.0,2161.0,13.0,50.0,5.0,553.0,0.0
40.0,27,70277.0,5633.0,3.0,6.0,7.0,3.0,11.0,11.0,7.0,3.0,762.0,0.0,149.0,6.0,539.0,1.0
23.0,13,71809.0,6168.0,7.0,7.0,17.0,8.0,15.0,1.0,7.0,1.0,4439.0,6.0,297.0,3.0,409.0,0.0
15.0,12,15264.0,1266.0,6.0,5.0,34.0,3.0,15.0,9.0,12.0,1.0,2375.0,8.0,36.0,1.0,309.0,0.0
22.0,27,14728.0,1480.0,10.0,9.0,31.0,5.0,11.0,9.0,6.0,2.0,2390.0,16.0,41.0,1.0,209.0,0.0
31.0,4,20162.0,1872.0,8.0,4.0,11.0,4.0,7.0,1.0,2.0,2.0,660.0,0.0,66.0,1.0,323.0,1.0
20.0,4,75506.0,6050.0,1.0,4.0,5.0,1.0,1.0,3.0,2.0,3.0,1069.0,23.0,60.0,2.0,605.0,0.0
37.0,13,137798.0,11598.0,6.0,5.0,13.0,0.0,15.0,9.0,2.0,2.0,1056.0,27.0,0.0,6.0,1228.0,1.0
39.0,27,46268.0,3983.0,5.0,4.0,20.0,4.0,17.0,9.0,7.0,2.0,1447.0,13.0,103.0,1.0,323.0,0.0
48.0,22,15279.0,1565.0,,5.0,8.0,3.0,3.0,6.0,4.0,3.0,168.0,0.0,29.0,1.0,346.0,2.0
22.0,13,83358.0,,5.0,3.0,5.0,3.0,6.0,2.0,4.0,3.0,727.0,30.0,169.0,6.0,597.0,2.0
22.0,19,37360.0,2864.0,10.0,5.0,33.0,5.0,12.0,9.0,11.0,2.0,1271.0,11.0,93.0,3.0,383.0,0.0
44.0,21,154868.0,13051.0,2.0,5.0,10.0,0.0,3.0,0.0,4.0,3.0,242.0,0.0,0.0,6.0,1369.0,0.0
32.0,24,94991.0,8144.0,7.0,6.0,13.0,0.0,18.0,19.0,6.0,2.0,1320.0,26.0,0.0,6.0,993.0,1.0
44.0,18,34476.0,2715.0,6.0,7.0,24.0,8.0,20.0,4.0,11.0,1.0,1976.0,10.0,171.0,1.0,138.0,0.0
